Unique ID	Parent ID	Name	Tier 1	Tier 2	Tier 3	Tier 4
216	210	Cooking	Food & Drink	Cooking	NULL	NULL
217	210	Desserts and Baking	Food & Drink	Desserts and Baking	NULL	NULL
218	210	Dining Out	Food & Drink	Dining Out	NULL	NULL
219	210	Food Allergies	Food & Drink	Food Allergies	NULL	NULL
220	210	Food Movements	Food & Drink	Food Movements	NULL	NULL
221	210	Healthy Cooking and Eating	Food & Drink	Healthy Cooking and Eating	NULL	NULL
222	210	Non-Alcoholic Beverages	Food & Drink	Non-Alcoholic Beverages	NULL	NULL
223		Healthy Living	Healthy Living	NULL	NULL	NULL
224	223	Children's Health	Healthy Living	Children's Health
225	223	Fitness and Exercise	Healthy Living	Fitness and Exercise	NULL	NULL
226	225	Participant Sports	Healthy Living	Fitness and Exercise	Participant Sports	NULL
227	225	Running and Jogging	Healthy Living	Fitness and Exercise	Running and Jogging	NULL
228	223	Men's Health	Healthy Living	Men's Health	NULL	NULL
229	223	Nutrition	Healthy Living	Nutrition	NULL	NULL
230	223	Senior Health	Healthy Living	Senior Health	NULL	NULL
231	223	Weight Loss	Healthy Living	Weight Loss
232	223	Wellness	Healthy Living	Wellness	NULL	NULL
233	232	Alternative Medicine	Healthy Living	Wellness	Alternative Medicine	NULL
234	233	Herbs and Supplements	Healthy Living	Wellness	Alternative Medicine	Herbs and Supplements
235	233	Holistic Health	Healthy Living	Wellness	Alternative Medicine	Holistic Health
236	232	Physical Therapy	Healthy Living	Wellness	Physical Therapy	NULL
237	232	Smoking Cessation	Healthy Living	Wellness	Smoking Cessation
238	223	Women's Health	Healthy Living	Women's Health	NULL	NULL
239		Hobbies & Interests	Hobbies & Interests	NULL	NULL	NULL
240	239	Antiquing and Antiques	Hobbies & Interests	Antiquing and Antiques	NULL	NULL
241	239	Magic and Illusion	Hobbies & Interests	Magic and Illusion	NULL	NULL
242	239	Model Toys	Hobbies & Interests	Model Toys	NULL	NULL
243	239	Musical Instruments	Hobbies & Interests	Musical Instruments	NULL	NULL
244	239	Paranormal Phenomena	Hobbies & Interests	Paranormal Phenomena	NULL	NULL
245	239	Radio Control	Hobbies & Interests	Radio Control	NULL	NULL
246	239	Sci-fi and Fantasy	Hobbies & Interests	Sci-fi and Fantasy	NULL	NULL
247	239	Workshops and Classes	Hobbies & Interests	Workshops and Classes	NULL	NULL
248	239	Arts and Crafts	Hobbies & Interests	Arts and Crafts	NULL	NULL
249	248	Beadwork	Hobbies & Interests	Arts and Crafts	Beadwork	NULL
250	248	Candle and Soap Making	Hobbies & Interests	Arts and Crafts	Candle and Soap Making	NULL
251	248	Drawing and Sketching	Hobbies & Interests	Arts and Crafts	Drawing and Sketching	NULL
252	248	Jewelry Making	Hobbies & Interests	Arts and Crafts	Jewelry Making	NULL
253	248	Needlework	Hobbies & Interests	Arts and Crafts	Needlework	NULL
254	248	Painting	Hobbies & Interests	Arts and Crafts	Painting	NULL
255	248	Photography	Hobbies & Interests	Arts and Crafts	Photography	NULL
256	248	Scrapbooking	Hobbies & Interests	Arts and Crafts	Scrapbooking	NULL
257	248	Woodworking	Hobbies & Interests	Arts and Crafts	Woodworking	NULL
258	239	Beekeeping	Hobbies & Interests	Beekeeping	NULL	NULL
259	239	Birdwatching	Hobbies & Interests	Birdwatching	NULL	NULL
260	239	Cigars	Hobbies & Interests	Cigars	NULL	NULL
261	239	Collecting	Hobbies & Interests	Collecting	NULL	NULL
262	261	Comic Books	Hobbies & Interests	Collecting	Comic Books	NULL
263	261	Stamps and Coins	Hobbies & Interests	Collecting	Stamps and Coins	NULL
264	239	Content Production	Hobbies & Interests	Content Production	NULL	NULL
265	264	Audio Production	Hobbies & Interests	Content Production	Audio Production	NULL
266	264	Freelance Writing	Hobbies & Interests	Content Production	Freelance Writing	NULL
267	264	Screenwriting	Hobbies & Interests	Content Production	Screenwriting	NULL
268	264	Video Production	Hobbies & Interests	Content Production	Video Production	NULL
269	239	Games and Puzzles	Hobbies & Interests	Games and Puzzles	NULL	NULL
270	269	Board Games and Puzzles	Hobbies & Interests	Games and Puzzles	Board Games and Puzzles	NULL
271	269	Card Games	Hobbies & Interests	Games and Puzzles	Card Games	NULL
272	269	Roleplaying Games	Hobbies & Interests	Games and Puzzles	Roleplaying Games	NULL
273	239	Genealogy and Ancestry	Hobbies & Interests	Genealogy and Ancestry	NULL	NULL
274		Home & Garden	Home & Garden	NULL	NULL	NULL
275	274	Gardening	Home & Garden	Gardening	NULL	NULL
276	274	Remodeling & Construction	Home & Garden	Remodeling & Construction	NULL	NULL
277	274	Smart Home	Home & Garden	Smart Home	NULL	NULL
278	274	Home Appliances	Home & Garden	Home Appliances	NULL	NULL
279	274	Home Entertaining	Home & Garden	Home Entertaining	NULL	NULL
280	274	Home Improvement	Home & Garden	Home Improvement	NULL	NULL
281	274	Home Security	Home & Garden	Home Security	NULL	NULL
282	274	Indoor Environmental Quality	Home & Garden	Indoor Environmental Quality	NULL	NULL
283	274	Interior Decorating	Home & Garden	Interior Decorating	NULL	NULL
284	274	Landscaping	Home & Garden	Landscaping	NULL	NULL
285	274	Outdoor Decorating	Home & Garden	Outdoor Decorating	NULL	NULL
286		Medical Health	Medical Health	NULL	NULL	NULL
287	286	Diseases and Conditions	Medical Health	Diseases and Conditions
288	287	Allergies	Medical Health	Diseases and Conditions	Allergies
289	287	Ear, Nose and Throat Conditions	Medical Health	Diseases and Conditions	Ear, Nose and Throat Conditions
290	287	Endocrine and Metabolic Diseases	Medical Health	Diseases and Conditions	Endocrine and Metabolic Diseases
291	290	Hormonal Disorders	Medical Health	Diseases and Conditions	Endocrine and Metabolic Diseases	Hormonal Disorders
292	290	Menopause	Medical Health	Diseases and Conditions	Endocrine and Metabolic Diseases	Menopause
293	290	Thyroid Disorders	Medical Health	Diseases and Conditions	Endocrine and Metabolic Diseases	Thyroid Disorders
294	287	Eye and Vision Conditions	Medical Health	Diseases and Conditions	Eye and Vision Conditions
295	287	Foot Health	Medical Health	Diseases and Conditions	Foot Health
296	287	Heart and Cardiovascular Diseases	Medical Health	Diseases and Conditions	Heart and Cardiovascular Diseases
297	287	Infectious Diseases	Medical Health	Diseases and Conditions	Infectious Diseases
298	287	Injuries	Medical Health	Diseases and Conditions	Injuries
299	298	First Aid	Medical Health	Diseases and Conditions	Injuries	First Aid
300	287	Lung and Respiratory Health	Medical Health	Diseases and Conditions	Lung and Respiratory Health
301	287	Mental Health	Medical Health	Diseases and Conditions	Mental Health
302	287	Reproductive Health	Medical Health	Diseases and Conditions	Reproductive Health
303	302	Birth Control	Medical Health	Diseases and Conditions	Reproductive Health	Birth Control
304	302	Infertility	Medical Health	Diseases and Conditions	Reproductive Health	Infertility
305	302	Pregnancy	Medical Health	Diseases and Conditions	Reproductive Health	Pregnancy
306	287	Blood Disorders	Medical Health	Diseases and Conditions	Blood Disorders
307	287	Sexual Health	Medical Health	Diseases and Conditions	Sexual Health
308	307	Sexual Conditions	Medical Health	Diseases and Conditions	Sexual Health	Sexual Conditions
309	287	Skin and Dermatology	Medical Health	Diseases and Conditions	Skin and Dermatology
310	287	Sleep Disorders	Medical Health	Diseases and Conditions	Sleep Disorders
311	287	Substance Abuse	Medical Health	Diseases and Conditions	Substance Abuse
312	287	Bone and Joint Conditions	Medical Health	Diseases and Conditions	Bone and Joint Conditions
313	287	Brain and Nervous System Disorders	Medical Health	Diseases and Conditions	Brain and Nervous System Disorders
314	287	Cancer	Medical Health	Diseases and Conditions	Cancer
315	287	Cold and Flu	Medical Health	Diseases and Conditions	Cold and Flu
316	287	Dental Health	Medical Health	Diseases and Conditions	Dental Health
317	287	Diabetes	Medical Health	Diseases and Conditions	Diabetes
318	287	Digestive Disorders	Medical Health	Diseases and Conditions	Digestive Disorders
319	286	Medical Tests	Medical Health	Medical Tests
320	286	Pharmaceutical Drugs	Medical Health	Pharmaceutical Drugs
321	286	Surgery	Medical Health	Surgery
322	286	Vaccines	Medical Health	Vaccines
323	286	Cosmetic Medical Services	Medical Health	Cosmetic Medical Services
324		Movies	Movies	NULL	NULL	NULL
325	324	Action and Adventure Movies	Movies	Action and Adventure Movies	NULL	NULL
326	324	Romance Movies	Movies	Romance Movies	NULL	NULL
327	324	Science Fiction Movies	Movies	Science Fiction Movies	NULL	NULL
328	324	Special Interest Movies	Movies	Indie and Arthouse Movies	NULL	NULL
329	324	Animation Movies	Movies	Animation Movies	NULL	NULL
330	324	Comedy Movies	Movies	Comedy Movies	NULL	NULL
331	324	Crime and Mystery Movies	Movies	Crime and Mystery Movies	NULL	NULL
332	324	Documentary Movies	Movies	Documentary Movies	NULL	NULL
333	324	Drama Movies	Movies	Drama Movies	NULL	NULL
334	324	Family and Children Movies	Movies	Family and Children Movies	NULL	NULL
335	324	Fantasy Movies	Movies	Fantasy Movies	NULL	NULL
336	324	Horror Movies	Movies	Horror Movies	NULL	NULL
337	324	World Movies	Movies	World Movies	NULL	NULL
338		Music and Audio	Music and Audio	NULL	NULL	NULL
339	338	Adult Contemporary Music	Music and Audio	Adult Contemporary Music	NULL	NULL
340	339	Soft AC Music	Music and Audio	Adult Contemporary Music	Soft AC Music	NULL
341	339	Urban AC Music	Music and Audio	Adult Contemporary Music	Urban AC Music	NULL
342	338	Adult Album Alternative	Music and Audio	Adult Album Alternative	NULL	NULL
343	338	Alternative Music	Music and Audio	Alternative Music	NULL	NULL
344	338	Children's Music	Music and Audio	Children's Music	NULL	NULL
345	338	Classic Hits	Music and Audio	Classic Hits	NULL	NULL
346	338	Classical Music	Music and Audio	Classical Music	NULL	NULL
347	338	College Radio	Music and Audio	College Radio	NULL	NULL
348	338	Comedy (Music and Audio)	Music and Audio	Comedy (Music and Audio)	NULL	NULL
349	338	Contemporary Hits/Pop/Top 40	Music and Audio	Contemporary Hits/Pop/Top 40	NULL	NULL
350	338	Country Music	Music and Audio	Country Music	NULL	NULL
351	338	Dance and Electronic Music	Music and Audio	Dance and Electronic Music	NULL	NULL
352	338	World/International Music	Music and Audio	World/International Music	NULL	NULL
353	338	Songwriters/Folk	Music and Audio	Songwriters/Folk	NULL	NULL
354	338	Gospel Music	Music and Audio	Gospel Music	NULL	NULL
355	338	Hip Hop Music	Music and Audio	Hip Hop Music	NULL	NULL
356	338	Inspirational/New Age Music	Music and Audio	Inspirational/New Age Music	NULL	NULL
357	338	Jazz	Music and Audio	Jazz	NULL	NULL
358	338	Oldies/Adult Standards	Music and Audio	Oldies/Adult Standards	NULL	NULL
359	338	Reggae	Music and Audio	Reggae	NULL	NULL
360	338	Blues	Music and Audio	Blues	NULL	NULL
361	338	Religious (Music and Audio)	Music and Audio	Religious (Music and Audio)	NULL	NULL
362	338	R&B/Soul/Funk	Music and Audio	R&B/Soul/Funk	NULL	NULL
363	338	Rock Music	Music and Audio	Rock Music	NULL	NULL
364	363	Album-oriented Rock	Music and Audio	Rock Music	Album-oriented Rock	NULL
365	363	Alternative Rock	Music and Audio	Rock Music	Alternative Rock	NULL
366	363	Classic Rock	Music and Audio	Rock Music	Classic Rock	NULL
367	363	Hard Rock	Music and Audio	Rock Music	Hard Rock	NULL
368	363	Soft Rock	Music and Audio	Rock Music	Soft Rock	NULL
369	338	Soundtracks, TV and Showtunes	Music and Audio	Soundtracks, TV and Showtunes	NULL	NULL
370	338	Sports Radio	Music and Audio	Sports Radio	NULL	NULL
371	338	Talk Radio	Music and Audio	Talk Radio	NULL	NULL
372	371	Business News Radio	Music and Audio	Talk Radio	Business News Radio	NULL
373	371	Educational Radio	Music and Audio	Talk Radio	Educational Radio	NULL
374	371	News Radio	Music and Audio	Talk Radio	News Radio	NULL
375	371	News/Talk Radio	Music and Audio	Talk Radio	News/Talk Radio	NULL
376	371	Public Radio	Music and Audio	Talk Radio	Public Radio	NULL
377	338	Urban Contemporary Music	Music and Audio	Urban Contemporary Music	NULL	NULL
378	338	Variety (Music and Audio)	Music and Audio	Variety (Music and Audio)	NULL	NULL
379		News and Politics	News and Politics	NULL	NULL	NULL
380	379	Crime	News and Politics	Crime	NULL	NULL
381	379	Disasters	News and Politics	Disasters	NULL	NULL
382	379	International News	News and Politics	International News	NULL	NULL
383	379	Law	News and Politics	Law	NULL	NULL
384	379	Local News	News and Politics	Local News	NULL	NULL
385	379	National News	News and Politics	National News	NULL	NULL
386	379	Politics	News and Politics	Politics	NULL	NULL
387	386	Elections	News and Politics	Politics	Elections
388	386	Political Issues	News and Politics	Politics	Political Issues
389	386	War and Conflicts	News and Politics	Politics	War and Conflicts	NULL
390	379	Weather	News and Politics	Weather	NULL	NULL
391		Personal Finance	Personal Finance	NULL	NULL	NULL
392	391	Consumer Banking	Personal Finance	Consumer Banking	NULL	NULL
393	391	Financial Assistance	Personal Finance	Financial Assistance	NULL	NULL
394	393	Government Support and Welfare	Personal Finance	Financial Assistance	Government Support and Welfare	NULL
395	393	Student Financial Aid	Personal Finance	Financial Assistance	Student Financial Aid	NULL
396	391	Financial Planning	Personal Finance	Financial Planning	NULL	NULL
397	391	Frugal Living	Personal Finance	Frugal Living	NULL	NULL
